编号,名称(日文原名+中文翻译),所属章节,分类,功能描述,适用场景,难度,Source
TIPS 01,ごちゃごちゃな頭の中をスッキリ整理する (理清杂乱无章的思绪),第1章,超具体化,通过与AI对话，将大脑中凌乱的任务和烦恼进行客观的梳理与分级。,当面对大量待办事项感到不知所措，无法确定优先顺序时。,初级,[1]
TIPS 02,長いWEB記事の要約で「タイパ」を爆上げする (通过要约长篇网页文章大幅提升时间效率),第1章,超具体化,让AI在数秒内提取长篇文章的核心观点，省去阅读全文的劳顿。,信息收集时面对大量冗长网页，需要快速判断其价值时。,初级,[1]
TIPS 03,「情報収集アシスタント」の力で、毎朝のニュースチェックを自動化する (利用“信息收集助手”自动化每日新闻查阅),第1章,超具体化,设定特定关键词和目的，由AI自动筛选并生成个性化的新闻日报。,希望在最短时间内掌握行业动向或竞争对手动态时。,初级,[1]
TIPS 04,AIを「議事録の書き起こしマスター」にする (让AI成为会议纪要撰写大师),第1章,超具体化,将会议录音交给AI，5分钟内生成包含结论、行动项和下步计划的精简纪要。,会议结束后需要快速输出纪要以便团队同步信息时。,初级,[1]
TIPS 05,GmailやGoogleドライブ上で、目当ての情報を一瞬で見つけ出す (瞬间找回散落在Gmail和云端硬盘中的信息),第1章,超具体化,利用AI的横向检索能力，跨应用查找并汇总特定项目的相关信息。,忘记了某项信息存储在哪个文件或哪封邮件中时。,初级,[1]
TIPS 06,AI先生の添削で、「文書作成」への苦手意識を克服する (通过AI老师的批改，克服对文档写作的恐惧),第1章,超具体化,AI针对草稿提供具体的遣词造句、结构和语气修正建议。,撰写商务邮件或正式文档，不确定表达是否得体时。,初级,"[1, 2]"
TIPS 07,専門用語を、AI通訳により「伝わる言葉」に変換する (通过AI翻译将专业术语转化为“易懂的语言”),第1章,超具体化,AI充当翻译官，将充斥着行话的文案改写为非专业人士或特定人群能懂的内容。,向其他部门或客户解释复杂的技术概念时。,初级,"[1, 2]"
TIPS 08,Word文書からPowerPoint資料を一瞬で作成する (瞬间将Word文档转化为PPT资料),第1章,超具体化,AI分析文档结构，自动生成幻灯片大纲、要约以及演讲者备注。,已有详细报告书，需要紧急制作演示文稿时。,中级,"[1, 2]"
TIPS 09,PowerPointでAIに「いい感じの図」を作ってもらい、資料をわかりやすくする (让AI在PPT中生成“恰到好处的插图”提升资料易懂度),第1章,超具体化,将抽象的逻辑关系或概念转化为直观的视觉图形和配图。,希望通过视觉化手段提升演示文稿的说服力时。,中级,"[1, 2]"
TIPS 10,移動中にひらめいたアイデアを「構造化メモ」に記録する (将移动中闪现的灵感记录为“结构化笔记”),第1章,超具体化,通过语音输入将零散的想法转化为逻辑清晰、包含下一步行动的备忘录。,不方便打字时，需要即时捕获脑中转瞬即逝的灵感时。,初级,"[1, 2]"
